"week_start_date","weekly_indexP"
2014-01-01,1.18449022345645
2014-01-08,1.15502525418734
2014-01-15,1.07832869972491
2014-01-22,1.04372023429497
2014-01-29,0.987152702170238
2014-02-05,0.950959084032658
2014-02-12,0.933067852441934
2014-02-19,0.992934383944937
2014-02-26,1.07754017183578
2014-03-05,1.06358541008399
2014-03-12,1.16487130601189
2014-03-19,1.22741212273162
2014-03-26,1.24347850829278
2014-04-02,1.39852747218421
2014-04-09,1.3329019821208
2014-04-16,1.01869423673659
2014-04-23,0.911160767514748
2014-04-30,0.779646594317736
2014-05-07,0.72679622442666
2014-05-14,0.824906193651391
2014-05-21,0.80275978273887
2014-05-28,0.86822426874522
2014-06-04,0.851100670562024
2014-06-11,0.79733838646855
2014-06-18,0.860239980016586
2014-06-25,0.866683597748646
2014-07-02,0.751499681836134
2014-07-09,0.708923589329146
2014-07-16,0.636189383347854
2014-07-23,0.502795599869468
2014-07-30,0.485797793545245
2014-08-06,0.506442900447846
2014-08-13,0.478456951739786
2014-08-20,0.472171166396453
2014-08-27,0.454195041371403
2014-09-03,0.43224568366206
2014-09-10,0.426449576676539
2014-09-17,0.414028685472051
2014-09-24,0.404258753884298
2014-10-01,0.441555539154595
2014-10-08,0.487329047440149
2014-10-15,0.5209330239291
2014-10-22,0.6628012203567
2014-10-29,0.711163353673884
2014-11-05,0.674452702478541
2014-11-12,0.767451651804351
2014-11-19,0.814943183715092
2014-11-26,0.832540549632916
2014-12-03,0.960714727261794
2014-12-10,0.945880805094068
2014-12-17,0.938340623294967
2014-12-24,0.898680628478765
2014-12-31,0.881681927213614
2015-01-07,0.828072468796829
2015-01-14,0.84552718823686
2015-01-21,0.894965246375824
2015-01-28,0.992826036526791
2015-02-04,1.05453950006933
2015-02-11,1.07899605106492
2015-02-18,1.0899817987078
2015-02-25,1.09608663706082
2015-03-04,1.16880711458707
2015-03-11,1.21156518120329
2015-03-18,1.21615816218811
2015-03-25,1.08332044149
2015-04-01,0.985870410899509
2015-04-08,1.00497130774119
2015-04-15,0.947781068807957
2015-04-22,0.974006091584429
2015-04-29,0.984020601820387
2015-05-06,0.90980592601637
2015-05-13,0.931623530044389
2015-05-20,0.931799009676715
2015-05-27,0.918517699673005
2015-06-03,0.915093350885295
2015-06-10,0.843405326009134
2015-06-17,0.768353865881489
2015-06-24,0.76047975343014
2015-07-01,0.745457467750209
2015-07-08,0.754316995275997
2015-07-15,0.787818343101248
2015-07-22,0.735685959075064
2015-07-29,0.669828269623404
2015-08-05,0.629971745656254
2015-08-12,0.575904706959199
2015-08-19,0.598482464913571
2015-08-26,0.717517724625923
2015-09-02,0.770079811750321
2015-09-09,0.77129496090941
2015-09-16,0.847640038733068
2015-09-23,0.723388637582955
2015-09-30,0.664026200614302
2015-10-07,0.68913057566585
2015-10-14,0.713345937364991
2015-10-21,0.855794227930845
2015-10-28,1.03657840435254
2015-11-04,1.22731913058078
2015-11-11,1.33020382054814
2015-11-18,1.47064418307385
2015-11-25,1.54377831715112
2015-12-02,1.43533459780045
2015-12-09,1.30536529130818
2015-12-16,1.15467924554051
2015-12-23,1.04172457006029
2015-12-30,1.10299199740868
2016-01-06,1.22146985084355
2016-01-13,1.36972710901779
2016-01-20,1.43521907229683
2016-01-27,1.36267685145179
2016-02-03,1.29488153504665
2016-02-10,1.25177204939026
2016-02-17,1.27603940788883
2016-02-24,1.32634093207498
2016-03-02,1.3528194299396
2016-03-09,1.38403074603276
2016-03-16,1.4131892735691
2016-03-23,1.35949313878923
2016-03-30,1.25860345636216
2016-04-06,1.15764418074805
2016-04-13,0.969759050625348
2016-04-20,0.867000554435707
2016-04-27,0.844093743646267
2016-05-04,0.849654421744934
2016-05-11,0.843789317137258
2016-05-18,0.947353105775352
2016-05-25,0.849745142572317
2016-06-01,0.66841833382269
2016-06-08,0.670942738782519
2016-06-15,0.659058180058845
2016-06-22,0.559824015688462
2016-06-29,0.627970011673315
2016-07-06,0.559580560748823
2016-07-13,0.506338608740208
2016-07-20,0.477007505253339
2016-07-27,0.472403875242077
2016-08-03,0.521614589252289
2016-08-10,0.450809598003153
2016-08-17,0.47855395033789
2016-08-24,0.504924694614039
2016-08-31,0.505733942004117
2016-09-07,0.553186276420982
2016-09-14,0.56774608884441
2016-09-21,0.57372634410049
2016-09-28,0.619469051738788
2016-10-05,0.711964537941329
2016-10-12,0.783531914394226
2016-10-19,0.787708976928516
2016-10-26,0.870292121020554
2016-11-02,0.878269734644586
2016-11-09,0.845413732345124
2016-11-16,0.935085426804012
2016-11-23,1.02810531427488
2016-11-30,1.05855919744224
2016-12-07,1.18032681931313
2016-12-14,1.2145988846875
2016-12-21,1.17155339198062
2016-12-28,1.11376565405477
2017-01-04,1.12349107396119
2017-01-11,1.08437581043004
2017-01-18,1.12995140702243
2017-01-25,1.17057052044325
2017-02-01,1.14970971877409
2017-02-08,1.17600657193795
2017-02-15,1.19416507153334
2017-02-22,1.17667943379992
2017-03-01,1.20820934788952
2017-03-08,1.16919880332331
2017-03-15,1.03639696539969
2017-03-22,0.973067986271816
2017-03-29,0.964214044041708
2017-04-05,0.881114454008786
2017-04-12,0.889817314963263
2017-04-19,0.871306475936405
2017-04-26,0.761435758372362
2017-05-03,0.753114524506613
2017-05-10,0.797031487140813
2017-05-17,0.821941020986457
2017-05-24,0.823042694467501
2017-05-31,0.891960359562639
2017-06-07,0.852886056050143
2017-06-14,0.774573955345034
2017-06-21,0.705304347004424
2017-06-28,0.666021631448598
2017-07-05,0.595624781555531
2017-07-12,0.548394897545807
2017-07-19,0.5246535025508
2017-07-26,0.445950226540138
2017-08-02,0.445368553510353
2017-08-09,0.397575751369197
2017-08-16,0.386345400801758
2017-08-23,0.393176023747051
2017-08-30,0.376723310143717
2017-09-06,0.38222024729656
2017-09-13,0.413916536287933
2017-09-20,0.466802177048074
2017-09-27,0.499395149166405
2017-10-04,0.527642643986394
2017-10-11,0.59238072167863
2017-10-18,0.583771303743039
2017-10-25,0.613075729361075
2017-11-01,0.658256475250973
2017-11-08,0.725356098303308
2017-11-15,0.812729021669511
2017-11-22,0.947727933468986
2017-11-29,1.02743017692499
2017-12-06,1.0142802180508
2017-12-13,1.09247401459987
2017-12-20,1.12324779520965
2017-12-27,1.17142980365798
2018-01-03,1.1465068486588
2018-01-10,1.07719721012137
2018-01-17,1.0507213970658
2018-01-24,1.07566065032034
2018-01-31,1.15319915137941
2018-02-07,1.30256117346768
2018-02-14,1.43702711425015
2018-02-21,1.56615673314862
2018-02-28,1.70665275973944
2018-03-07,1.75524625422711
2018-03-14,1.61801585849403
2018-03-21,1.48708133807788
2018-03-28,1.37528578656705
2018-04-04,1.19801353129464
2018-04-11,1.18329685379228
2018-04-18,1.1496728319261
2018-04-25,1.07351692152675
2018-05-02,1.06511900506355
2018-05-09,0.957258173959285
2018-05-16,0.870750226301788
2018-05-23,0.822265150504163
2018-05-30,0.823839635575255
2018-06-06,0.845752840035842
2018-06-13,0.871513335993939
2018-06-20,0.855989202756383
2018-06-27,0.749520378884206
2018-07-04,0.732699425857344
2018-07-11,0.720036692237708
2018-07-18,0.744063320714645
2018-07-25,0.803663135459633
2018-08-01,0.776100154682049
2018-08-08,0.749628724565199
2018-08-15,0.696234522521358
2018-08-22,0.558277974933021
2018-08-29,0.5534715737058
2018-09-05,0.608336130961765
2018-09-12,0.672054259232007
2018-09-19,0.808530294194642
2018-09-26,1.00145835496128
2018-10-03,0.99595122153605
2018-10-10,0.961235082861862
2018-10-17,0.949684599278828
2018-10-24,0.958483420345569
2018-10-31,0.94695426599069
2018-11-07,1.03317550381934
2018-11-14,1.04190214836674
2018-11-21,1.00188242845865
2018-11-28,0.931565681048815
2018-12-05,0.958356015601368
2018-12-12,1.03621983486812
2018-12-19,1.08594151380101
2018-12-26,1.17642446713685
